Date,Value,% change
2021.12.27,5999.71,0.719000550623816
2021.12.28,6085.4,1.42823569805872
2021.12.29,6124.65,0.644986360797972
2021.12.30,6153.48,0.470720775881062
2022.01.03,6128.4,-0.407574250667908
2022.01.04,6148.01,0.319985640623988
2022.01.05,6206.24,0.947135739857274
2022.01.10,6220.86,0.235569362448107
2022.01.11,6215.25,-0.0901804573644083
2022.01.12,6223.6,0.134346969148469
2022.01.13,6244.45,0.335015103798431
2022.01.14,6301.12,0.907525882984084
2022.01.17,6331.82,0.487214971306682
2022.01.18,6337.59,0.0911270377237594
2022.01.20,6362.15,0.387529013394672
2022.01.21,6333.05,-0.457392548116586
2022.01.24,6149.97,-2.89086617032868
2022.01.25,6016.44,-2.17123010356149
2022.01.26,6062.77,0.770056711277789
2022.01.27,6155.35,1.5270247758038
2022.01.28,6196.73,0.672260716287454
2022.01.31,6226.37,0.478316789661659
2022.02.01,6234.81,0.13555249688022
2022.02.02,6249.93,0.24250939483319
2022.02.03,6276.69,0.428164795445696
2022.02.04,6287.04,0.164895828852485
2022.02.07,6315.94,0.45967577747239
2022.02.08,6363.72,0.75649863678251
2022.02.09,6364.81,0.0171283463131555
2022.02.10,6353.17,-0.182880557314369
2022.02.11,6336.53,-0.261916492081915
2022.02.14,6182.02,-2.43840082821354
2022.02.15,6257.07,1.21400448397124
2022.02.16,6297.08,0.639436669239757
2022.02.17,6295.43,-0.0262026208972976
2022.02.18,6274.88,-0.32642726549259
2022.02.21,6238.47,-0.580250140241723
2022.02.22,6173.45,-1.04224272938718
2022.02.23,6160.18,-0.214952741173891
2022.02.24,5627.16,-8.65266924018455
2022.02.25,5869.12,4.2998599648846
2022.02.28,5819.46,-0.846123439289026
2022.03.01,5817.12,-0.0402099163839931
2022.03.02,5799.92,-0.29567896141045
2022.03.03,5816.37,0.283624601718646
2022.03.04,5835.75,0.333197509787042
2022.03.07,5820.33,-0.264233389024549
2022.03.08,5811.91,-0.144665336845162
2022.03.09,5819.67,0.133518929233256
2022.03.10,5805.44,-0.244515582498672
2022.03.11,5804.99,-0.00775135045749664
2022.03.14,5838.07,0.569854556166338
2022.03.15,5879.81,0.714962307748968
2022.03.16,5956.39,1.30242303747909
2022.03.17,6047.79,1.53448649265746
2022.03.18,6088.97,0.680909886090619
2022.03.21,6079.43,-0.156676744999562
2022.03.22,6121.93,0.699078696522526
2022.03.23,6120.98,-0.0155179820742979
2022.03.24,6091.95,-0.474270459959025
2022.03.25,6105.53,0.222917128341504
2022.03.28,6115.06,0.156088005463917
2022.03.29,6110.29,-0.0780041405971543
2022.03.30,6102.81,-0.12241644831914
2022.03.31,6097.34,-0.0896308421858172
2022.04.01,6109.56,0.200415263049147
2022.04.04,6128.34,0.307387111346813
2022.04.05,6159.86,0.514331776631183
2022.04.06,6222.76,1.02112710353808
2022.04.07,6221.98,-0.012534630935479
2022.04.08,6237.74,0.25329557472058
2022.04.11,6230.65,-0.113662961264815
2022.04.12,6213.21,-0.279906590805124
2022.04.13,6134.84,-1.26134477991248
2022.04.14,6068.45,-1.08217981235045
2022.04.15,6068.48,0.000494360174330133
2022.04.18,6075.94,0.12293028896857
2022.04.19,6093.08,0.282096268231746
2022.04.20,6072.09,-0.344489158192574
2022.04.21,6093.58,0.35391438532697
2022.04.26,6104.4,0.177563927937263
2022.04.27,6130.82,0.432802568639024
2022.04.28,6181.89,0.833004394191983
2022.04.29,6278.19,1.55777601995506
2022.05.03,6265.86,-0.196394183673954
2022.05.04,6260.25,-0.0895328015627528
2022.05.05,6264.78,0.0723613274230317
2022.05.06,6215.99,-0.778798297785399
2022.05.09,6215.3,-0.0111004039581752
2022.05.10,6237.52,0.357504867021707
2022.05.11,6238.79,0.0203606561582026
2022.05.12,6192.88,-0.735879874142265
2022.05.13,6183.88,-0.145328183333115
2022.05.16,6169.92,-0.22574823573549
2022.05.17,6116.54,-0.865165188527572
2022.05.18,6132.12,0.254719171296181
2022.05.19,6097.99,-0.556577496852639
2022.05.20,6076.44,-0.353395135118295
2022.05.23,6041.07,-0.582084246697079
2022.05.25,5979.58,-1.01786604028756
2022.05.26,5948.76,-0.515420815508771
2022.05.27,5951.21,0.0411850536918612
2022.05.30,6007.9,0.952579391417863
2022.05.31,6070.62,1.04395878759633
2022.06.01,6086.9,0.268176891322458
2022.06.02,6108.38,0.352888991112077
2022.06.03,6105.31,-0.0502588247620395
2022.06.06,6087.32,-0.294661532338258
2022.06.07,6067.03,-0.333315810570167
2022.06.08,6026.82,-0.662762504882952
2022.06.09,5993.3,-0.556180539654405
2022.06.13,5927.05,-1.10540103115145
2022.06.14,5867.21,-1.00960848988958
2022.06.15,5833.07,-0.58187792835096
2022.06.16,5830.02,-0.0522880747187871
2022.06.17,5850.89,0.357974758234114
2022.06.20,5798.46,-0.896102986041447
2022.06.21,5782.71,-0.27162384495194
2022.06.22,5786.74,0.069690508429443
2022.06.23,5789.04,0.0397460400847427
2022.06.24,5801.97,0.22335309481365
2022.06.27,5790.41,-0.199242671023814
2022.06.28,5797.04,0.114499664099776
2022.06.29,5791.25,-0.0998785587127182
2022.06.30,5787.23,-0.0694150658320791
2022.07.01,5806.8,0.338158324448834
2022.07.04,5774.41,-0.557794310119175
2022.07.05,5778.23,0.066153944732017
2022.07.06,5785.01,0.117336969971782
