OBSV, type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller,MEDIAN_SQ,type_new,House_story,BIG_PROPERTY
77,1-room,Sofia, city_Sofia,Tsentr,72000,33,2181.81,Brick,0,6,YES,1/8/2019,1/31/2019,Agency,"1,470.00",1,0,0
78,1-room,Sofia, city_Sofia,Studentsky_hrad,56700,47,1206.38,Brick,2017,2,NO,1/24/2019,1/31/2019,Agency,"1,036.84",1,0,0
79,1-room,Sofia, city_Sofia,Krasna_polyana_3,46000,42,1095.23,Panel,0,3,YES,10/29/2019,10/31/2019,Agency,815.67,1,0,0
80,1-room,Sofia, city_Sofia,Krstova_vada,36900,44,838.63,Brick,2021,1,NO,11/19/2019,11/30/2019,Agency,"1,183.52",1,0,0
81,1-room,Sofia, city_Sofia,Manastyrsky_lyvady,74500,59,1262.71,Brick,2015,7,NO,1/25/2019,1/31/2019,Agency,"1,073.17",1,0,0
82,1-room,Sofia, city_Sofia,Tsentr,55030,56,982.67,Brick,0,3,NO,1/21/2019,1/31/2019,Agency,"1,470.00",1,0,0
83,1-room,Sofia, city_Sofia,Krstova_vada,58391,41,1424.17,Brick,2017,5,NO,1/28/2019,1/31/2019,Agency,"1,183.52",1,0,0
84,1-room,Sofia, city_Sofia,Tsentr,35000,27,1296.29,EPK,0,6,NO,1/24/2019,1/31/2019,Agency,"1,470.00",1,0,0
85,1-room,Sofia, city_Sofia,Tsentr,45000,40,1125,EPK,0,5,YES,5/3/2019,5/31/2019,Agency,"1,470.00",1,0,0
86,1-room,Sofia, city_Sofia,Banyshora,45000,40,1125,EPK,0,5,YES,1/24/2019,1/31/2019,Agency,"1,000.00",1,0,0
87,1-room,Sofia, city_Sofia,Tsentr,38000,39,974.35,Brick,2018,5,YES,1/9/2019,1/31/2019,Agency,"1,470.00",1,0,0
88,1-room,Sofia, city_Sofia,Studentsky_hrad,42999,45,955.53,Brick,2018,7,NO,1/7/2019,1/31/2019,Agency,"1,036.84",1,0,0
89,1-room,Sofia, city_Sofia,Ovcha_kupel_1,35000,50,700,Brick,2010,0,NO,1/28/2019,1/31/2019,Agency,934.77,1,0,0
90,1-room,Sofia, city_Sofia,Ovcha_kupel_1,42900,45,953.33,Panel,1987,0,YES,1/7/2019,1/31/2019,Agency,934.77,1,0,0
91,1-room,Sofia, city_Sofia,Tsentr,52396,44,1190.81,Brick,2017,2,NO,4/1/2019,4/30/2019,Agency,"1,470.00",1,0,0
92,1-room,Sofia, city_Sofia,Levsky,28000,40,700,Brick,2019,0,NO,1/25/2019,1/31/2019,Agency,808.61,1,0,0
93,1-room,Sofia, city_Sofia,Levsky_H,39480,47,840,Brick,2018,3,YES,1/31/2019,1/31/2019,Agency,886.11,1,0,0
94,1-room,Sofia, city_Sofia,Druzhba_1,50000,54,925.92,EPK,0,4,YES,9/2/2019,9/30/2019,Agency,"1,000.00",1,0,0
95,1-room,Sofia, city_Sofia,Studentsky_hrad,43500,53,820.75,Brick,0,6,NO,12/20/2019,12/31/2019,Agency,"1,036.84",1,0,0
96,1-room,Sofia, city_Sofia,Pavlovo,50000,60,833.33,Brick,0,4,NO,1/28/2019,1/31/2019,Agency,"1,065.21",1,0,0
97,1-room,Sofia, city_Sofia,Vytosha,46496,58,801.65,Brick,0,2,NO,1/4/2019,1/31/2019,Agency,998.87,1,0,0
98,1-room,Sofia, city_Sofia,Vytosha,46496,58,801.65,Brick,2017,3,NO,1/2/2019,1/31/2019,Agency,998.87,1,0,0
99,1-room,Sofia, city_Sofia,Studentsky_hrad,46200,44,1050,Brick,2018,11,NO,1/16/2019,1/31/2019,Agency,"1,036.84",1,0,0
100,1-room,Sofia, city_Sofia,Vytosha,48200,57,845.61,Brick,2018,4,NO,1/11/2019,1/31/2019,Agency,998.87,1,0,0
101,1-room,Sofia, city_Sofia,Studentsky_hrad,75300,77,977.92,Brick,2018,4,NO,1/22/2019,1/31/2019,Agency,"1,036.84",1,0,0
102,1-room,Sofia, city_Sofia,Ylynden,48000,50,960,Brick,0,1,NO,1/19/2019,1/31/2019,Agency,"1,058.82",1,0,0
103,1-room,Sofia, city_Sofia,Druzhba_1,55000,45,1222.22,Panel,0,3,YES,10/18/2019,10/31/2019,Agency,"1,000.00",1,0,0
104,1-room,Sofia, city_Sofia,Lyulyn_10,60300,71,849.29,Brick,2011,5,NO,1/2/2019,1/31/2019,Agency,891.73,1,0,0
105,1-room,Sofia, city_Sofia,Vytosha,47500,63,753.96,Brick,2018,5,NO,1/21/2019,1/31/2019,Agency,998.87,1,0,0
106,1-room,Sofia, city_Sofia,Krstova_vada,60656,42,1444.19,Brick,2017,4,NO,1/28/2019,1/31/2019,Agency,"1,183.52",1,0,0
107,1-room,Sofia, city_Sofia,Studentsky_hrad,39000,48,812.5,Brick,0,5,NO,12/20/2019,12/31/2019,Agency,"1,036.84",1,0,0
108,1-room,Sofia, city_Sofia,Studentsky_hrad,34000,36,944.44,Brick,2016,4,NO,12/20/2019,12/31/2019,Agency,"1,036.84",1,0,0
109,1-room,Sofia, city_Sofia,Studentsky_hrad,43000,39,1102.56,Brick,2018,6,NO,1/28/2019,1/31/2019,Agency,"1,036.84",1,0,0
110,1-room,Sofia, city_Sofia,Studentsky_hrad,45500,38,1197.36,Brick,2017,6,NO,1/11/2019,1/31/2019,Agency,"1,036.84",1,0,0
111,1-room,Sofia, city_Sofia,Mladost_3,53000,46,1152.17,Panel,0,6,YES,1/23/2019,1/31/2019,Agency,"1,204.96",1,0,0
112,1-room,Sofia, city_Sofia,Nadezhda_1,51000,48,1062.5,Panel,1980,4,YES,1/31/2019,1/31/2019,Agency,950,1,0,0
113,1-room,Sofia, city_Sofia,Vytosha,46496,61,762.22,Brick,2018,3,NO,2/18/2019,2/28/2019,Agency,998.87,1,0,0
114,1-room,Sofia, city_Sofia,Drvenytsa,50577,44,1149.47,Brick,0,5,YES,1/9/2019,1/31/2019,Agency,"1,115.45",1,0,0
115,1-room,Sofia, city_Sofia,Vytosha,49200,57,863.15,Brick,2018,2,NO,4/18/2019,4/30/2019,Agency,998.87,1,0,0
116,1-room,Sofia, city_Sofia,Studentsky_hrad,60700,67,905.97,Brick,2018,3,NO,1/16/2019,1/31/2019,Agency,"1,036.84",1,0,0
117,1-room,Sofia, city_Sofia,Druzhba_1,41000,47,872.34,Panel,1975,3,YES,6/29/2019,6/30/2019,Agency,"1,000.00",1,0,0
118,1-room,Sofia, city_Sofia,Lyulyn_1,43000,46,934.78,Panel,0,2,YES,1/2/2019,1/31/2019,Agency,848.35,1,0,0
119,1-room,Sofia, city_Sofia,Borovo,74500,59,1262.71,Brick,2015,7,NO,1/30/2019,1/31/2019,Agency,"1,204.54",1,0,0
120,1-room,Sofia, city_Sofia,Manastyrsky_lyvady,111111,85,1307.18,Brick,0,7,YES,1/7/2019,1/31/2019,Agency,"1,073.17",1,0,0
121,1-room,Sofia, city_Sofia,Vytosha,47200,57,828.07,Brick,2018,2,NO,1/8/2019,1/31/2019,Agency,998.87,1,0,0
122,1-room,Sofia, city_Sofia,Vytosha,46496,58,801.65,Brick,2019,3,NO,1/15/2019,1/31/2019,Agency,998.87,1,0,0
123,1-room,Sofia, city_Sofia,Obelya_2,40000,48,833.33,Panel,1986,5,NO,1/8/2019,1/31/2019,Agency,833.58,1,0,0
124,1-room,Sofia, city_Sofia,m_t_Hrdova_hlava,45000,45,1000,Brick,2017,0,NO,1/7/2019,1/31/2019,Agency,755.31,1,0,0
125,1-room,Sofia, city_Sofia,Obelya_1,32190,44,731.59,Brick,2019,5,YES,2/11/2019,2/28/2019,Agency,764.58,1,0,0
126,1-room,Sofia, city_Sofia,Vytosha,46496,58,801.65,Brick,2018,3,NO,1/25/2019,1/31/2019,Agency,998.87,1,0,0
127,1-room,Sofia, city_Sofia,Drahalevtsy,70515,59,1195.16,Brick,0,-1,NO,1/7/2019,1/31/2019,Agency,"1,105.68",1,0,0
128,1-room,Sofia, city_Sofia,Drahalevtsy,85828,65,1320.43,Brick,0,-1,NO,1/7/2019,1/31/2019,Agency,"1,105.68",1,0,0
129,1-room,Sofia, city_Sofia,Drahalevtsy,74286,64,1160.71,Brick,0,-1,NO,1/7/2019,1/31/2019,Agency,"1,105.68",1,0,0
130,1-room,Sofia, city_Sofia,Krstova_vada,58391,41,1424.17,Brick,0,4,NO,1/19/2019,1/31/2019,Agency,"1,183.52",1,0,0
131,1-room,Sofia, city_Sofia,Poduyane,49500,50,990,Brick,2019,2,YES,1/4/2019,1/31/2019,Agency,"1,051.08",1,0,0
132,1-room,Sofia, city_Sofia,Oboryshche,49500,50,990,Brick,2019,2,YES,1/4/2019,1/31/2019,Agency,"1,510.66",1,0,0
133,1-room,Sofia, city_Sofia,Sukhata_reka,49500,50,990,Brick,2019,2,YES,1/4/2019,1/31/2019,Agency,"1,000.00",1,0,0
134,1-room,Sofia, city_Sofia,Oboryshche,49500,50,990,Brick,2019,1,YES,1/4/2019,1/31/2019,Agency,"1,510.66",1,0,0
135,1-room,Sofia, city_Sofia,Poduyane,49500,50,990,Brick,2019,1,YES,1/4/2019,1/31/2019,Agency,"1,051.08",1,0,0
136,1-room,Sofia, city_Sofia,Sukhata_reka,49500,50,990,Brick,2019,1,YES,1/4/2019,1/31/2019,Agency,"1,000.00",1,0,0
137,1-room,Sofia, city_Sofia,Ovcha_kupel_2,35000,50,700,Brick,2010,0,NO,1/28/2019,1/31/2019,Agency,899.99,1,0,0
138,1-room,Sofia, city_Sofia,Studentsky_hrad,62500,76,822.36,Brick,0,3,NO,1/8/2019,1/31/2019,Agency,"1,036.84",1,0,0
139,1-room,Sofia, city_Sofia,m_t_Hrdova_hlava,44630,44,1014.31,Brick,0,1,NO,1/7/2019,1/31/2019,Agency,755.31,1,0,0
140,1-room,Sofia, city_Sofia,m_t_Hrdova_hlava,36150,36,1004.16,Brick,0,2,NO,1/7/2019,1/31/2019,Agency,755.31,1,0,0
141,1-room,Sofia, city_Sofia,Tsentr,56500,35,1614.28,Brick,1939,0,YES,10/30/2019,10/31/2019,Agency,"1,470.00",1,0,0
142,1-room,Sofia, city_Sofia,Boyana,36000,36,1000,Brick,2019,1,NO,1/7/2019,1/31/2019,Agency,"1,155.17",1,0,0
