 type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller
 3-СТАЕН, София, гр. София, Манастирски ливади,105200,118,891.52, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,86793,87,997.62, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Павлово,135317,117,1156.55, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,189000,125,1512, Тухла,1939,1, ДА, 2019-03-29, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Карпузица,83368,98,850.69, Тухла,2019,2, НЕ, 2019-03-11, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Дианабад,174900,120,1457.5, Тухла,2006,3, ДА, 2019-03-30, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Дианабад,174000,120,1450, Тухла,2006,3, ДА, 2019-05-28, 2019-05-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,120000,115,1043.47, Тухла,2008,1, НЕ, 2019-03-30, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Иван Вазов,189500,101,1876.23, Тухла,0,2, ДА, 2019-03-11, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Изток,163115,96,1699.11, Тухла,2019,2, НЕ, 2019-03-01, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Изток,155533,92,1690.57, Тухла,2019,3, НЕ, 2019-03-01, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Дървеница,120750,105,1150, Тухла,2019,5, НЕ, 2019-03-30, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Бояна,199000,136,1463.23, Тухла,0,4, НЕ, 2019-03-01, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,98878,119,830.9, Тухла,0,1, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,79587,86,925.43, Тухла,0,4, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 2,85813,127,675.69, Тухла,0,7, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,76014,86,883.88, Тухла,0,2, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,78469,86,912.43, Тухла,0,1, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Овча купел,92000,65,1415.38, Тухла,2011,2, НЕ, 2019-03-27, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Дървеница,120900,106,1140.56, Тухла,2019,5, НЕ, 2019-04-01, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Яворов,220000,92,2391.3, Тухла,1960,4, ДА, 2019-03-01, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,106000,115,921.73, Тухла,0,1, ДА, 2019-03-02, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Хаджи Димитър,81500,76,1072.36, Панел,0,8, ДА, 2019-03-29, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,70900,78,908.97, Тухла,0,1, ДА, 2019-03-28, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,105500,114,925.43, Тухла,0,1, ДА, 2019-03-02, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Борово,187000,135,1385.18, Тухла,0,3, НЕ, 2019-03-29, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,139000,63,2206.34, Тухла,1938,0, ДА, 2019-03-14, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Гоце Делчев,82900,88,942.04, ЕПК,1967,15, ДА, 2019-03-26, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Младост 2,195000,152,1282.89, Тухла,2018,6, ДА, 2019-03-30, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Кръстова вада,127500,149,855.7, Тухла,2019,4, НЕ, 2019-03-30, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,97776,105,931.2, Тухла,0,4, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Толстой,82999,83,999.98, ЕПК,1975,5, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Левски Г,82000,90,911.11, Панел,1991,9, ДА, 2019-03-25, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Красно село,133214,114,1168.54, Тухла,0,2, ДА, 2019-03-07, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,105000,89,1179.77, Тухла,0,4, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,138596,155,894.16, Тухла,0,3, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 6,74018,105,704.93, Тухла,0,6, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Обеля,93114,95,980.14, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Карпузица,82866,97,854.28, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,148971,121,1231.16, Тухла,0,2, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Обеля,77656,97,800.57, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Слатина,122485,111,1103.46, Тухла,0,3, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,136099,110,1237.26, Тухла,0,4, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 6,71148,101,704.43, Тухла,0,5, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Карпузица,86811,102,851.08, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Овча купел 1,94690,111,853.06, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Малинова долина,87860,95,924.84, Тухла,0,5, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Левски Г,82000,90,911.11, Панел,1991,9, ДА, 2019-03-25, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 5,61999,86,720.91, Панел,1978,8, НЕ, 2019-03-02, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Кръстова вада,121000,126,960.31, Тухла,2018,0, НЕ, 2019-03-16, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Младост 4,129800,132,983.33, Тухла,2019,5, ДА, 2019-03-25, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,96226,108,890.98, Тухла,0,1, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,160134,136,1177.45, Тухла,0,15, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,125578,158,794.79, Тухла,0,5, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,104834,119,880.95, Тухла,0,4, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,76573,102,750.71, Тухла,0,1, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,75560,92,821.3, Тухла,0,0, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,143084,136,1052.08, Тухла,0,10, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,105084,116,905.89, Тухла,0,3, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,77503,106,731.16, Тухла,0,1, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Надежда 2,120000,127,944.88, Тухла,2019,9, ДА, 2019-03-03, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,95501,102,936.28, Тухла,0,6, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,99836,104,959.96, Тухла,0,8, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 6,62398,89,701.1, Тухла,0,3, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,91571,87,1052.54, Тухла,0,4, НЕ, 2019-03-07, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Левски Г,83480,104,802.69, Тухла,0,3, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Дианабад,162000,113,1433.62, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Овча купел,94732,99,956.88, Тухла,0,3, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,128200,108,1187.03, Тухла,0,4, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 6,66283,94,705.13, Тухла,0,4, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Слатина,174064,151,1152.74, Тухла,0,4, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,159900,87,1837.93, Тухла,0,5, ДА, 2019-03-17, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,209000,192,1088.54, Тухла,2019,6, ДА, 2019-03-03, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Младост 1,106900,117,913.67, Тухла,1954,2, ДА, 2019-03-06, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Левски Г,77132,93,829.37, Тухла,2019,5, НЕ, 2019-03-03, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,107530,112,960.08, Тухла,2019,1, НЕ, 2019-03-03, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,116150,106,1095.75, Тухла,2019,2, НЕ, 2019-03-03, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,77503,106,731.16, Тухла,0,1, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,108101,107,1010.28, Тухла,0,12, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,104768,105,997.79, Тухла,0,12, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,100712,117,860.78, Тухла,0,1, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,115644,142,814.39, Тухла,0,5, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,108000,98,1102.04, Тухла,0,5, НЕ, 2019-03-03, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Лагера,120000,103,1165.04, Тухла,2020,3, НЕ, 2019-03-25, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Лагера,146000,125,1168, Тухла,2020,3, НЕ, 2019-03-25, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Симеоново,90000,111,810.81, Тухла,0,3, НЕ, 2019-03-08, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, м-т Гърдова глава,135000,90,1500, Тухла,2008,3, НЕ, 2019-03-25, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Павлово,135000,90,1500, Тухла,2008,3, НЕ, 2019-03-25, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Красна поляна 2,69890,104,672.01, ЕПК,0,10, ДА, 2019-03-06, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Яворов,133900,80,1673.75, Тухла,1950,2, ДА, 2019-03-27, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Кръстова вада,87739,91,964.16, Тухла,2020,4, НЕ, 2019-03-04, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,94063,106,887.38, Тухла,0,3, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,108450,112,968.3, Тухла,0,11, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,116500,111,1049.54, Тухла,0,13, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,94350,104,907.21, Тухла,0,4, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,101701,111,916.22, Тухла,0,5, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,105714,106,997.3, Тухла,0,9, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,119092,108,1102.7, Тухла,0,15, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,155287,126,1232.43, Тухла,0,5, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,128338,104,1234.01, Тухла,0,2, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Слатина,111000,111,1000, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Карпузица,94843,111,854.44, Тухла,0,3, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Малинова долина,104218,113,922.28, Тухла,0,8, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 6,63147,90,701.63, Тухла,0,6, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,104837,100,1048.36, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Дианабад,162000,113,1433.62, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Младост 4,115893,101,1147.45, Тухла,0,6, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Стрелбище,161712,129,1253.58, Тухла,0,2, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 6,73843,105,703.26, Тухла,0,5, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Малинова долина,89454,105,851.94, Тухла,0,4, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Овча купел 1,114639,134,855.51, Тухла,0,6, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,144381,132,1093.79, Тухла,0,4, НЕ, 2019-03-07, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,138596,155,894.16, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,99247,100,992.47, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Хиподрума,94900,103,921.35, Тухла,1994,7, ДА, 2019-03-04, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Павлово,89000,91,978.02, Тухла,2019,6, НЕ, 2019-03-27, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,96500,132,731.06, Тухла,2019,6, НЕ, 2019-03-28, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,122400,188,651.06, Тухла,2019,6, НЕ, 2019-03-04, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,124400,192,647.91, Тухла,2019,6, НЕ, 2019-03-04, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Надежда 4,72000,70,1028.57, Тухла,1961,2, ДА, 2019-03-19, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,190000,117,1623.93, Тухла,2017,7, ДА, 2019-03-04, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Овча купел,94080,98,960, Тухла,2020,3, НЕ, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Гоце Делчев,82580,84,983.09, Панел,0,6, НЕ, 2019-03-22, 2019-03-31, Агенция
