anonINDX,GENDER,eINDX,HSCH,MJR,atitMATH,passMATH,gradeMATH,firstQIZZ,c_firstQIZZ,1diffQIZZ,c_1diffQIZZ,1averQIZZ,c_1averQIZZ,1averQIZZ_H,2diffQIZZ,c_2diffQIZZ,2averQIZZ,c_2averQIZZ,2averQIZZ_H,1numE,c_1numE,2numE,c_2numE,1honLST,2honLST,1numP,c_1numP,2numP,c_2numP,1numQ,c_1numQ,2numQ,c_2numQ,1averATND,c_1averATND,1averATND_H,2averATND,c_2averATND,2averATND_H,1numHW,c_1numHW,2numHW,c_2numHW,1honHW,2honHW,1paperHW,2paperHW,1lateHW,2lateHW,1hardHW,1hardHW_H,c_1hardHW,2hardHW,2hardHW_H,c_2hardHW,1additHW,1lateADHW,2additHW,2electADHW,1proxi.25,2proxi.25,proxi.25,1proxi.75,2proxi.75,proxi.75,1DISS,c_1DISS,DDIFF,2DISS,c_2DISS,Y1,Y1_33,Y1_66,Y1group,Y1CHEAT,Y2,Y2_33,Y2_66,Y2group,Y2CHEAT
21,1,3,1,4,3,,,0.15625,-0.10687499996,0.4378125,0.33855624996,0.5940625,0.26663490852439,1,-0.10625,-0.318189927130435,0.05,-0.415342405083333,0,4,1.02222222222222,4,0.911111111111111,1,1,4,1.02173913043478,3,-0.0444444444444443,4,1.26829268292683,1,-0.583333333333333,4,1.39455782316327,1,2.666666667,0.40136054464898,0,3,1.06122448979592,1,0.408163265306122,1,1,1,1,0.3333333333,0,0.5,1,0.0978260869573913,0.5,0,-0.0804597701172414,1,0,1,0,0.5,0,0.79,0.75,1,0.32,0,-1.85714285714286,0,0,-2.6530612244898,0.55,0,1,2,0,0.6,0,1,2,0
22,1,12,1,3,5,,,NA,NA,NA,NA,0.28,-0.0474275914756097,0,NA,NA,0.86,0.394657594916667,1,2,-0.977777777777778,4,0.911111111111111,1,1,2,-0.978260869565217,4,0.955555555555556,2,-0.731707317073171,2,0.416666666666667,2,-0.605442176836735,0,3.333333333,1.06802721064898,0,1,-0.938775510204082,1,0.408163265306122,1,1,0.3333333333,1,0,0,0.3333333333,0,-0.0688405797426087,0.8333333333,1,0.252873563182759,1,0,1,0,0.5,0,0.79,0.5,1,0.21,2,0.142857142857143,0,2,-0.653061224489796,0.55,0,1,2,1,0.8,0,1,1,0
23,1,2,1,3,2,,,0.3125,0.04937500004,0.330625,0.23136874996,0.643125,0.31569740852439,1,0.4875,0.275560072869565,0.8,0.334657594916667,1,4,1.02222222222222,4,0.911111111111111,1,1,4,1.02173913043478,4,0.955555555555556,4,1.26829268292683,2,0.416666666666667,4,1.39455782316327,1,3.333333333,1.06802721064898,0,3,1.06122448979592,1,0.408163265306122,1,1,1,1,0.3333333333,0,0.4444444444,1,0.0422705313573913,0.5,0,-0.0804597701172414,1,0,1,0,0.5,0,0.79,0.25,1,0.11,2,0.142857142857143,0,2,-0.653061224489796,0.525,0,0,1,1,0.55,0,1,1,0
24,1,19,NA,NA,NA,,,NA,NA,NA,NA,0.47,0.14257240852439,1,NA,NA,NA,NA,NA,4,1.02222222222222,1,-2.08888888888889,1,0,4,1.02173913043478,1,-2.04444444444444,2,-0.731707317073171,NA,NA,3.333333333,0.727891156163266,1,0.6666666667,-1.59863945565102,1,2,0.0612244897959184,0,-0.591836734693878,1,0,0,NA,0,NA,0.5555555556,1,0.153381642557391,NA,NA,NA,1,0,0,NA,0.75,1,0.32,0.5,1,0.79,2,0.142857142857143,4,6,3.3469387755102,0.6,0,1,2,1,0.2,1,0,1,0
25,1,39,1,5,3,,,NA,NA,NA,NA,0.28,-0.0474275914756097,0,NA,NA,0.98,0.514657594916667,1,3,0.0222222222222221,4,0.911111111111111,1,1,3,0.0217391304347827,4,0.955555555555556,2,-0.731707317073171,2,0.416666666666667,2.666666667,0.0612244901632653,1,3.333333333,1.06802721064898,0,3,1.06122448979592,1,0.408163265306122,1,1,1,1,0,0,0.5555555556,1,0.153381642557391,0.6666666667,1,0.0862068965827586,1,0,1,0,0.67,0.67,0.86,0.67,0.33,0.67,2,0.142857142857143,0,2,-0.653061224489796,0.775,0,1,1,1,0.7,0,1,2,0
26,1,9,2,3,2,,,0.177083333,-0.08604166696,-0.00281249975,-0.10206874979,0.1742708333,-0.15315675817561,0,0.412916667,0.200976739869565,0.59,0.124657594916667,1,3,0.0222222222222221,4,0.911111111111111,1,1,3,0.0217391304347827,4,0.955555555555556,3,0.268292682926829,2,0.416666666666667,3,0.394557823163265,1,3.333333333,1.06802721064898,0,3,1.06122448979592,1,0.408163265306122,1,1,1,1,0,0,0.5555555556,1,0.153381642557391,0.5,0,-0.0804597701172414,1,0,1,0,0.33,0.33,0.71,1,0.33,0.62,2,0.142857142857143,0,2,-0.653061224489796,0.325,1,0,2,1,0.45,0,0,1,0
27,1,7,0,5,5,,,0.375,0.11187500004,-0.07625,-0.17550625004,0.29875,-0.0286775914756097,0,0.11666,-0.0952799271304348,0.49166,0.0263175949166667,1,4,1.02222222222222,4,0.911111111111111,1,1,4,1.02173913043478,4,0.955555555555556,4,1.26829268292683,2,0.416666666666667,4,1.39455782316327,1,3.333333333,1.06802721064898,0,3,1.06122448979592,1,0.408163265306122,1,0,1,1,0,1,0.6111111111,1,0.208937198057391,0.5,0,-0.0804597701172414,1,0,1,0,0.25,1,0.68,1,1,1,0,-1.85714285714286,1,1,-1.6530612244898,0.55,0,1,1,0,0.75,0,1,2,0
28,1,18,2,1,2,,,0.463541667,0.20041666704,0.03234374975,-0.06691250029,0.4958854168,0.16845782532439,1,-0.263541667,-0.475481594130435,0.2,-0.265342405083333,0,4,1.02222222222222,4,0.911111111111111,1,1,4,1.02173913043478,4,0.955555555555556,4,1.26829268292683,1,-0.583333333333333,4,1.39455782316327,1,3,0.73469387764898,0,2,0.0612244897959184,1,0.408163265306122,1,0,0.6666666667,1,0,0,0.7222222222,1,0.320048309157391,NA,NA,NA,1,0,1,0,0.75,0.67,0.89,0.75,0,0.7,0,-1.85714285714286,1,1,-1.6530612244898,0.575,0,1,2,0,0.6,0,1,1,0
29,1,32,NA,NA,NA,,,NA,NA,NA,NA,0.31,-0.0174275914756097,0,NA,NA,0.5116666,0.0463241949166667,1,2,-0.977777777777778,4,0.911111111111111,1,1,2,-0.978260869565217,4,0.955555555555556,2,-0.731707317073171,2,0.416666666666667,2,-0.605442176836735,0,3.333333333,1.06802721064898,0,2,0.0612244897959184,0,-0.591836734693878,1,1,0.3333333333,NA,0.3333333333,NA,0.3888888889,0,-0.0132850241426087,0.3333333333,0,-0.247126436817241,1,1,1,0,0.5,1,0.79,1,0,1,0,-1.85714285714286,0,0,-2.6530612244898,0.475,0,0,1,0,0.15,1,0,2,0
30,1,33,2,3,2,,,0.432291667,0.16916666704,0.01578124975,-0.08347500029,0.4480729168,0.12064532532439,1,0.237708333,0.0257684058695652,0.67,0.204657594916667,1,3,0.0222222222222221,4,0.911111111111111,1,1,3,0.0217391304347827,4,0.955555555555556,3,0.268292682926829,2,0.416666666666667,3,0.394557823163265,1,3.333333333,1.06802721064898,0,2,0.0612244897959184,0,-0.591836734693878,1,1,0.3333333333,NA,0,NA,0.4444444444,1,0.0422705313573913,0.5,0,-0.0804597701172414,1,1,1,0,0.33,0,0.71,0.67,0.33,0.29,0,-1.85714285714286,0,0,-2.6530612244898,0.35,0,0,2,0,0.125,1,0,1,0
